,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Caitlin McCabe, Joe Wallace","Stocks Fall, Oil Prices Gain as EU Commits to Partial Russian Crude Ban - The Wall Street Journal","Dow, S&P 500 open lower on the last day of a volatile trading month",https://www.wsj.com/articles/global-stocks-markets-dow-update-05-31-2022-11653982716,https://images.wsj.net/im-554235/social,2022-05-31T14:32:00Z,"U.S. stocks fell on Tuesday, resuming their downward trajectory after last weeks rally, while a pledge among European Union leaders to curb oil purchases from Russia lifted crude prices.
The S&amp;P… [+304 chars]"
1,"{'id': None, 'name': 'AZoNano'}",,High Performance Reported for Polyoxometalate Li-S Batteries - AZoNano,New research discusses the development of modified Keggin and Dawson type Polyoxometalates (POMs) to improve the performance of  Li-S batteries.,https://www.azonano.com/news.aspx?newsID=39208,https://d1otjdv2bf0507.cloudfront.net/images/news/ImageForNews_39208_16540067410575149.jpg,2022-05-31T14:21:00Z,"An article recently published in the journal Materials Today Nano discusses the development of modified Keggin and Dawson type Polyoxometalates (POMs) to improve the performance of  Li-S batteries. … [+5955 chars]"
2,"{'id': None, 'name': 'Belfast Telegraph'}",Christopher Leebody,Monkeypox: What are the symptoms and what should you do if you have any? - Belfast Telegraph,The Public Health Agency (PHA) has issued a reminder to those who believe they may have contracted monkeypox to phone them before attending a healthcare centre.,https://www.belfasttelegraph.co.uk/news/health/monkeypox-what-are-the-symptoms-and-what-should-you-do-if-you-have-any-41706674.html,https://www.belfasttelegraph.co.uk/news/health/e3118/41706673.ece/AUTOCROP/w1240h700/HEALTH-MONKEYPOX%2082940261%2083083595,2022-05-31T14:21:00Z,"The Public Health Agency (PHA) has issued a reminder to those who believe they may have contracted monkeypox to phone them before attending a healthcare centre.
It comes as the latest figures from t… [+3772 chars]"
3,"{'id': None, 'name': 'CNBC'}",Sam Meredith,Strategic Donbas city split down the middle as fighting rages; EU to cut most Russian oil imports - CNBC,The European Union has agreed on a plan to block more than two-thirds of Russian oil imports as part of new punitive measures against the Kremlin.,https://www.cnbc.com/2022/05/31/russia-ukraine-live-updates.html,https://image.cnbcfm.com/api/v1/image/107068849-1653976213879-gettyimages-1241003635-AFP_32BK88T.jpeg?v=1653976749&w=1920&h=1080,2022-05-31T14:16:00Z,"Ukraine applauded European Union leaders for striking an agreement on a new package of sanctions against Russia that includes an embargo on most Russian oil imports.
The EU's plan to ban 90% of Russ… [+1000 chars]"
4,"{'id': None, 'name': 'AZoNano'}",,In Situ TEM Shows Why Polymer Nanocapsules Deform - AZoNano,The analysis of buckling and collapse of nanocapsules employs real-time Transmission Electron Microscopy (TEM) in a recent study.,https://www.azonano.com/news.aspx?newsID=39207,https://d1otjdv2bf0507.cloudfront.net/images/news/ImageForNews_39207_16540061434653217.jpg,2022-05-31T14:13:00Z,Nanocapsules are widely utilized in various industries such as drug delivery systems. The recent study published in Langmuir focuses on the analysis of buckling and collapse of nanocapsules employing… [+5641 chars]
5,"{'id': None, 'name': 'Sky.com'}",Sky,Queen pictured at Aberdeen airport as she returns to London ahead of Platinum Jubilee celebrations - Sky News,,https://news.sky.com/story/queen-pictured-at-aberdeen-airport-as-she-returns-to-london-ahead-of-platinum-jubilee-celebrations-12624808,https://e3.365dm.com/22/05/1600x900/skynews-jubilee-queen-fee-250_5789737.jpg?20220531144705,2022-05-31T14:08:15Z,"The Queen has begun her journey back to London ahead of her Platinum Jubilee celebrations this week.
The 96-year-old monarch was photographed arriving at Aberdeen airport.
She has been staying at B… [+2857 chars]"
6,"{'id': None, 'name': 'Science Daily'}",,"New artificial enzyme breaks down tough, woody lignin: Study shows promise for developing a new renewable energy source - Science Daily","An innovative artificial enzyme has shown it can chew through woody lignin, an abundant carbon-based substance that stores tremendous potential for renewable energy and materials.",https://www.sciencedaily.com/releases/2022/05/220531091530.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2022-05-31T14:05:40Z,"A new artificial enzyme has shown it can chew through lignin, the tough polymer that helps woody plants hold their shape. Lignin also stores tremendous potential for renewable energy and materials.Re… [+5659 chars]"
7,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"Govt guidelines on monkeypox stress on surveillance, rapid identification, isolation - Economic Times","The guidelines proposed a surveillance strategy to rapidly identify cases and clusters of infections and the sources of infections as soon as possible in order to isolate cases to prevent further transmission, provide optimal clinical care, identify and manag…",https://economictimes.indiatimes.com/news/india/govt-guidelines-on-monkeypox-stress-on-surveillance-rapid-identification-isolation/articleshow/91922223.cms,"https://img.etimg.com/thumb/msid-91922223,width-1070,height-580,imgsize-50710,overlay-economictimes/photo.jpg",2022-05-31T14:03:00Z,"Amid increasing cases of monkeypox being reported in non-endemic countries, the government on Tuesday issued guidelines directing district surveillance units to consider even one such case as an outb… [+2863 chars]"
8,"{'id': None, 'name': 'NDTV News'}",,Johnny Depp-Amber Heard Case: When Is The Verdict Expected? - NDTV,Johnny Depp and Amber Heard have sued each other and are seeking millions in damages. The jury is currently deliberating.,https://www.ndtv.com/world-news/johnny-depp-amber-heard-case-when-is-the-verdict-expected-3026490,https://c.ndtvimg.com/2022-04/d5p67l3_johnny-depp-vs-amber-heard_625x300_30_April_22.jpg,2022-05-31T14:01:52Z,"The Johnny Depp-Amber Heard trial began on April 11 and arguments continued for 6 weeks.
The Johnny Depp-Amber Heard court battle is in its final stages, with the jury deliberating in Fairfax, Virgi… [+1598 chars]"
9,"{'id': None, 'name': 'Zawya.com'}",Jennifer Rigby,"Disease experts call on WHO, governments for more action on monkeypox - ZAWYA","While monkeypox is not as transmissible or dangerous as COVID, the scientists say, there needs to be clearer guidance on how a person infected with monkeypox should isolate",https://www.zawya.com/en/life/health/disease-experts-call-on-who-governments-for-more-action-on-monkeypox-qffu1dgu,https://static.zawya.com/version/c:YmU0Yzk3ZDctMzMyNC00:YzgzOTU4/health-monkeypox-germany-vaccine.JPG,2022-05-31T14:01:37Z,"GENEVA - Some prominent infectious disease experts are pushing for faster action from global health authorities to contain a growing monkeypox outbreak that has spread to at least 20 countries.
They… [+4271 chars]"
10,"{'id': None, 'name': 'Tbdhu.com'}",,COVID-19 Outbreak Declared at Pioneer Ridge - Plaza 1 - Thunder Bay District Health Unit,"Thunder Bay District Health Unit provides public health information for residents of the Thunder Bay District in Northwestern Ontario. We investigate reportable diseases, animal bites, and other public health complaints.",http://www.tbdhu.com/,,2022-05-31T13:59:21Z,
11,"{'id': None, 'name': 'Sky.com'}",Sky,Kevin Spacey says he will 'voluntarily' appear in the UK to defend himself against sex assault charges - Sky News,,https://news.sky.com/story/kevin-spacey-says-he-will-voluntarily-appear-in-the-uk-to-defend-himself-against-sex-assault-charges-12624732,https://e3.365dm.com/22/05/1600x900/skynews-kevin-spacey-uk-charges_5789660.jpg?20220531134920,2022-05-31T13:52:30Z,"Kevin Spacey has said he will ""voluntarily"" appear in the UK to defend himself against charges of sexual assault.
The actor, 62, is to be charged with four counts of sexual assault against three men… [+1649 chars]"
12,"{'id': None, 'name': 'The Guardian'}",Aubrey Allegretti,"Music from ‘Abba party’ could be heard all over No 10, says Cummings - The Guardian",Boris Johnson’s former chief adviser accuses Sue Gray of not properly investigating gathering in the flat,https://amp.theguardian.com/politics/2022/may/31/music-from-abba-party-could-be-heard-all-over-no-10-says-cummings,,2022-05-31T13:48:00Z,"Dominic CummingsBoris Johnsons former chief adviser accuses Sue Gray of not properly investigating gathering in the flat
Dominic Cummings has accused Sue Gray of not properly investigating the alleg… [+3922 chars]"
13,"{'id': 'reuters', 'name': 'Reuters'}",,Ukrainian troops hold out as Russia assaults Sievierodonetsk wasteland - Reuters,"Ukrainian forces were holding out in Sievierodonetsk on Tuesday, resisting Russia's all-out assault to capture a bombed-out wasteland that Moscow has made the principal objective of its invasion in recent days.",https://www.reuters.com/world/europe/russian-forces-face-stiff-resistance-ukraines-donbas-2022-05-31/,https://www.reuters.com/resizer/35vn4VZcmldWvek8qAAPrc7AosU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/MWV4JIM6WJMIRDO3MVWHKLKVXU.jpg,2022-05-31T13:45:00Z,"KYIV, May 31 (Reuters) - Ukrainian forces were holding out in Sievierodonetsk on Tuesday, resisting Russia's all-out assault to capture a bombed-out wasteland that Moscow has made the principal objec… [+6461 chars]"
14,"{'id': None, 'name': 'CBS Sports'}",,"2022 NBA Finals: Three reasons why Celtics can beat Warriors, including Boston hunting Stephen Curry - CBS Sports",The Celtics will also look to exploit a size advantage with certain lineups,https://www.cbssports.com/nba/news/2022-nba-finals-three-reasons-why-celtics-can-beat-warriors-including-boston-hunting-stephen-curry/,https://sportshub.cbsistatic.com/i/r/2022/05/30/1f4bfeba-67a8-479c-b952-dac74674f39a/thumbnail/1200x675/3b7b454d719df9500bd54151d3ba02c2/celtics-warriors-getty.png,2022-05-31T13:45:00Z,"With the Boston Celtics' Game 7 victory over the Miami Heat on Sunday, the 2022 NBA Finals matchup is set. The Celtics, the East's No. 2 seed, with face the Golden State Warriors, the West's No. 3 se… [+5637 chars]"
15,"{'id': 'cbc-news', 'name': 'CBC News'}",,"Leaked photos of Uyghurs interned at Xinjiang detention centres 'devastating,' says activist - CBC.ca",Uyghurs living outside of China say a recently published trove of documents and photos from inside the country's secretive mass incarceration system in Xinjiang have left them feeling 'helpless.',https://www.cbc.ca/radio/day6/the-onion-s-powerful-satire-on-shootings-amber-heard-s-trial-by-tiktok-stranger-things-is-back-and-more-1.6468079/leaked-photos-of-uyghurs-interned-at-xinjiang-detention-centres-devastating-says-activist-1.6468085,https://i.cbc.ca/1.6469752.1653760325!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/xinjiang-police-files-2.jpg,2022-05-31T13:44:40Z,"WARNING: This story contains distressing details.
Photos recently published online showing thousands of Uyghurs detained as part of China's secretive mass detention system in Xinjiang region have te… [+6177 chars]"
16,"{'id': None, 'name': 'Geek Culture'}",Si Jia,First Impressions And Hands-On: Fujifilm X-H2S - Geek Culture,"The Fujifilm X-H2S is on the road to reign supreme as king of APS-C cameras, carrying a slate of handy features in tow.",https://geekculture.co/first-impressions-fujifilm-x-h2s-king-of-aps-c-cameras/,https://geekculture.co/wp-content/uploads/2022/05/first-impressions-fujifilm-x-h2s.jpg,2022-05-31T13:44:29Z,"Impressions by Bobby Tonelli.
Fujifilm is more than well-established in the realm of APS-C and medium format, and it’s not going to stop pulling out the big guns anytime soon. Enter the X-H2S, the n… [+2005 chars]"
